区站号,纬度,经度,观测场拔海高度,年,月,平均风速
50949.0,45.05,124.52,136.20000000000002,2017.0,10.0,2.406451612903226
50950.0,45.42,125.15,148.70000000000002,2017.0,10.0,3.203225806451613
50953.0,45.56,126.34,118.30000000000001,2017.0,10.0,3.261290322580645
50954.0,45.3,125.05,127.5,2017.0,10.0,3.164516129032258
50955.0,45.24,126.19,168.3,2017.0,10.0,3.9225806451612906
50956.0,46.05,126.46,134.5,2017.0,10.0,2.554838709677419
50958.0,45.32,126.56,168.20000000000002,2017.0,10.0,2.5
50960.0,45.44,127.23,184.20000000000002,2017.0,10.0,3.203225806451613
50962.0,45.57,128.03,112.10000000000001,2017.0,10.0,2.8258064516129036
50963.0,45.58,128.44,108.60000000000001,2017.0,10.0,3.548387096774194
50964.0,45.5,128.48,119.30000000000001,2017.0,10.0,1.8838709677419356
50965.0,45.27,128.17,167.20000000000002,2017.0,10.0,2.267741935483871
50968.0,45.13,127.58,189.70000000000002,2017.0,10.0,2.0387096774193547
50971.0,45.47,131.01,223.5,2017.0,10.0,2.425806451612903
50973.0,45.45,130.36,234.4,2017.0,10.0,3.741935483870968
50978.0,45.18,130.55,272.5,2017.0,10.0,4.019354838709678
50979.0,45.17,130.15,274.7,2017.0,10.0,2.203225806451613
50983.0,45.46,132.58,100.2,2017.0,10.0,2.5612903225806454
50985.0,45.33,131.52,151.70000000000002,2017.0,10.0,2.8129032258064517
50987.0,45.16,131.06,219.9,2017.0,10.0,3.5516129032258066
51053.0,48.03,86.24,532.6,2017.0,10.0,2.548387096774194
51058.0,47.06,87.58,563.3000000000001,2017.0,10.0,3.0516129032258066
51059.0,47.27,85.53,968.2,2017.0,10.0,4.012903225806452
51060.0,47.42,86.52,473.90000000000003,2017.0,10.0,2.174193548387097
51068.0,47.07,87.29,497.0,2017.0,10.0,2.538709677419355
51076.0,47.44,88.05,735.3000000000001,2017.0,10.0,1.7483870967741937
51087.0,47.01,89.3,860.4000000000001,2017.0,10.0,3.5903225806451617
51133.0,46.44,83.0,534.9,2017.0,10.0,1.8870967741935485
51137.0,46.12,82.56,715.4000000000001,2017.0,10.0,1.035483870967742
51145.0,46.33,83.39,521.6,2017.0,10.0,1.903225806451613
51156.0,46.49,85.45,1322.1000000000001,2017.0,10.0,3.461290322580645
51186.0,46.4,90.23,1218.2,2017.0,10.0,1.0580645161290323
51232.0,45.11,82.34,369.8,2017.0,10.0,5.2
51238.0,44.54,82.04,532.2,2017.0,10.0,1.5419354838709678
51241.0,45.56,83.36,1094.2,2017.0,10.0,2.067741935483871
51243.0,45.37,84.51,450.3,2017.0,10.0,2.232258064516129
51288.0,45.22,90.32,1653.7,2017.0,10.0,2.7838709677419358
51328.0,44.1,80.25,722.0,2017.0,10.0,1.738709677419355
51329.0,44.03,80.51,640.0,2017.0,10.0,0.8806451612903227
51330.0,44.58,81.01,1357.8000000000002,2017.0,10.0,1.803225806451613
51334.0,44.34,82.49,329.20000000000005,2017.0,10.0,1.8258064516129033
51346.0,44.26,84.4,478.70000000000005,2017.0,10.0,1.3
51352.0,44.51,85.15,337.1,2017.0,10.0,1.003225806451613
51353.0,45.01,86.06,346.0,2017.0,10.0,1.3806451612903228
51356.0,44.19,86.03,442.90000000000003,2017.0,10.0,1.0161290322580647
51357.0,44.2,85.37,522.2,2017.0,10.0,1.467741935483871
51358.0,44.17,85.49,468.5,2017.0,10.0,1.006451612903226
51359.0,44.19,86.12,471.40000000000003,2017.0,10.0,1.1
51365.0,44.12,87.32,440.5,2017.0,10.0,1.564516129032258
51367.0,44.1,86.51,575.1,2017.0,10.0,2.4290322580645163
51368.0,44.07,87.19,515.7,2017.0,10.0,1.7000000000000002
51369.0,43.58,87.39,600.3000000000001,2017.0,10.0,1.067741935483871
51377.0,44.1,87.55,547.0,2017.0,10.0,1.1483870967741936
51378.0,44.0,89.1,742.9000000000001,2017.0,10.0,1.4000000000000001
51379.0,44.01,89.34,793.5,2017.0,10.0,1.6
51430.0,43.5,81.09,602.6,2017.0,10.0,1.0258064516129033
51431.0,43.57,81.2,662.5,2017.0,10.0,0.967741935483871
51433.0,43.48,82.31,1105.3,2017.0,10.0,1.035483870967742
51434.0,43.58,81.32,770.0,2017.0,10.0,0.6225806451612903
51435.0,43.28,82.14,774.9000000000001,2017.0,10.0,1.0516129032258064
51436.0,43.27,83.18,928.2,2017.0,10.0,1.3774193548387097
51437.0,43.09,81.08,1851.0,2017.0,10.0,1.7903225806451613
51438.0,43.11,81.46,1210.4,2017.0,10.0,1.5935483870967744
51463.0,43.47,87.39,935.0,2017.0,10.0,1.935483870967742
51465.0,43.29,87.06,1871.8000000000002,2017.0,10.0,1.7483870967741937
51467.0,42.46,86.2,1732.4,2017.0,10.0,1.5129032258064516
51468.0,43.06,86.5,3539.0,2017.0,10.0,3.2645161290322586
51469.0,43.27,87.11,1930.0,2017.0,10.0,2.1032258064516127
51470.0,43.53,88.07,1942.5,2017.0,10.0,2.6483870967741936
51477.0,43.21,88.19,1103.5,2017.0,10.0,2.7354838709677423
51482.0,43.5,90.17,1271.5,2017.0,10.0,2.335483870967742
51495.0,43.13,91.44,721.4000000000001,2017.0,10.0,7.290322580645162
51526.0,42.14,88.13,922.4000000000001,2017.0,10.0,2.267741935483871
51542.0,43.02,84.09,2458.0,2017.0,10.0,2.8903225806451616
51559.0,42.19,86.24,1100.9,2017.0,10.0,1.4838709677419355
51567.0,42.05,86.34,1055.3,2017.0,10.0,1.793548387096774
51568.0,42.15,86.48,1085.4,2017.0,10.0,1.4225806451612906
51571.0,42.46,88.36,49.5,2017.0,10.0,2.609677419354839
51572.0,42.5,89.15,-48.7,2017.0,10.0,1.5483870967741937
51573.0,42.57,89.14,39.300000000000004,2017.0,10.0,1.929032258064516
51581.0,42.51,90.14,398.6,2017.0,10.0,1.096774193548387
51627.0,41.13,79.14,1395.8000000000002,2017.0,10.0,1.164516129032258
51628.0,41.07,80.23,1107.1000000000001,2017.0,10.0,1.5935483870967744
51629.0,41.16,80.14,1133.1000000000001,2017.0,10.0,1.096774193548387
51633.0,41.47,81.54,1229.2,2017.0,10.0,0.7741935483870969
51636.0,41.33,82.39,1009.8000000000001,2017.0,10.0,1.4580645161290322
51639.0,41.14,82.47,980.4000000000001,2017.0,10.0,1.1290322580645162
51642.0,41.49,84.16,982.0,2017.0,10.0,2.3806451612903223
51644.0,41.43,82.58,1081.9,2017.0,10.0,1.3096774193548388
51655.0,41.21,86.16,884.9000000000001,2017.0,10.0,1.5225806451612904
51656.0,41.44,85.49,899.8000000000001,2017.0,10.0,2.2806451612903227
51701.0,40.31,75.24,3504.4,2017.0,10.0,3.109677419354839
51704.0,39.43,76.1,1298.7,2017.0,10.0,1.0580645161290323
51705.0,39.43,75.15,2175.7000000000003,2017.0,10.0,1.845161290322581
51707.0,39.3,76.47,1204.7,2017.0,10.0,0.7774193548387097
51708.0,39.09,75.57,1325.1000000000001,2017.0,10.0,0.9064516129032258
51709.0,39.29,75.45,1385.6000000000001,2017.0,10.0,2.1483870967741936
51711.0,40.56,78.27,1985.1000000000001,2017.0,10.0,1.903225806451613
51716.0,39.48,78.34,1116.5,2017.0,10.0,1.1903225806451612
51717.0,39.15,76.47,1206.3,2017.0,10.0,0.6967741935483871
51720.0,40.3,79.03,1161.8,2017.0,10.0,1.103225806451613
51722.0,40.39,80.24,1044.3,2017.0,10.0,1.2838709677419355
51730.0,40.33,81.16,1012.2,2017.0,10.0,1.1580645161290322
51747.0,39.0,83.4,1099.3,2017.0,10.0,1.7322580645161292
51765.0,40.38,87.42,846.0,2017.0,10.0,1.5
51777.0,39.02,88.1,887.7,2017.0,10.0,1.9516129032258065
51802.0,38.56,76.1,1297.5,2017.0,10.0,0.5225806451612903
51804.0,37.46,75.14,3090.1000000000004,2017.0,10.0,1.8193548387096776
51810.0,38.55,77.38,1178.2,2017.0,10.0,0.935483870967742
51811.0,38.26,77.16,1231.2,2017.0,10.0,0.9548387096774195
51814.0,37.55,77.24,1360.4,2017.0,10.0,1.0935483870967742
51815.0,38.12,77.16,1274.7,2017.0,10.0,0.5612903225806453
51818.0,37.37,78.17,1375.4,2017.0,10.0,1.1870967741935485
51826.0,37.01,80.48,1336.5,2017.0,10.0,1.2774193548387096
51827.0,37.1,79.38,1348.9,2017.0,10.0,1.1129032258064517
51828.0,37.08,79.56,1375.0,2017.0,10.0,1.7774193548387096
51829.0,37.03,80.14,1295.6000000000001,2017.0,10.0,2.538709677419355
51839.0,37.04,82.43,1409.5,2017.0,10.0,1.238709677419355
51855.0,38.09,85.33,1247.2,2017.0,10.0,2.232258064516129
51886.0,38.15,90.51,2944.8,2017.0,10.0,1.774193548387097
51931.0,36.51,81.39,1422.0,2017.0,10.0,1.167741935483871
52101.0,43.36,93.03,1679.4,2017.0,10.0,2.236666666666667
52112.0,43.45,94.59,479.0,2017.0,10.0,2.4806451612903224
52118.0,43.16,94.42,1728.6000000000001,2017.0,10.0,2.196774193548387
52203.0,42.49,93.31,737.2,2017.0,10.0,1.1387096774193548
52267.0,41.57,101.04,940.5,2017.0,10.0,2.067741935483871
52313.0,41.32,94.4,1573.8000000000002,2017.0,10.0,4.090322580645162
52323.0,41.48,97.02,1770.4,2017.0,10.0,4.02258064516129
52378.0,41.22,102.22,960.0,2017.0,10.0,3.9645161290322584
52418.0,40.09,94.41,1139.0,2017.0,10.0,1.7548387096774194
52424.0,40.32,95.47,1170.9,2017.0,10.0,2.3451612903225807
52436.0,40.16,97.02,1526.0,2017.0,10.0,2.912903225806452
52446.0,40.18,99.31,1177.4,2017.0,10.0,2.729032258064516
52447.0,40.0,98.53,1270.5,2017.0,10.0,2.074193548387097
52495.0,40.1,104.48,1323.9,2017.0,10.0,3.0322580645161294
52515.0,39.31,94.52,2137.2000000000003,2017.0,10.0,3.435483870967742
52533.0,39.46,98.29,1477.2,2017.0,10.0,2.196774193548387
52546.0,39.22,99.5,1332.2,2017.0,10.0,1.738709677419355
52557.0,39.09,100.1,1453.7,2017.0,10.0,1.7612903225806453
52575.0,39.25,102.47,1239.5,2017.0,10.0,3.5225806451612907
52576.0,39.13,101.41,1510.1000000000001,2017.0,10.0,3.3677419354838714
52602.0,38.45,93.2,2770.0,2017.0,10.0,3.4000000000000004
52607.0,39.26,106.39,1252.6000000000001,2017.0,10.0,3.3700000000000006
52633.0,38.49,98.25,3367.0,2017.0,10.0,1.8838709677419356
52643.0,38.5,99.37,2311.8,2017.0,10.0,2.1161290322580646
52645.0,38.26,99.36,3314.0,2017.0,10.0,2.0903225806451613
52652.0,39.05,100.17,1461.1000000000001,2017.0,10.0,2.506451612903226
52656.0,38.28,100.49,2232.0,2017.0,10.0,2.9580645161290327
52657.0,38.11,100.15,2787.4,2017.0,10.0,1.7838709677419358
52661.0,38.48,101.05,1765.5,2017.0,10.0,1.903225806451613
52674.0,38.13,101.56,2093.9,2017.0,10.0,3.470967741935484
52679.0,37.55,102.4,1531.5,2017.0,10.0,1.3870967741935485
52681.0,38.38,103.05,1367.5,2017.0,10.0,2.3000000000000003
52707.0,36.48,93.41,2767.0,2017.0,10.0,3.2
52713.0,37.51,95.21,3173.2000000000003,2017.0,10.0,1.3935483870967742
52737.0,37.22,97.23,2981.5,2017.0,10.0,1.403225806451613
52745.0,37.18,99.01,3417.1000000000004,2017.0,10.0,2.370967741935484
52754.0,37.2,100.08,13301.5,2017.0,10.0,2.641935483870968
52765.0,37.23,101.37,12850.0,2017.0,10.0,1.2580645161290323
52784.0,37.28,102.54,2072.4,2017.0,10.0,2.3161290322580643
52787.0,37.12,102.52,3045.1000000000004,2017.0,10.0,5.106666666666667
52797.0,37.11,104.03,1630.9,2017.0,10.0,1.8322580645161293
52818.0,36.25,94.55,2807.6000000000004,2017.0,10.0,1.7258064516129032
52825.0,36.26,96.26,2790.4,2017.0,10.0,1.3838709677419354
52833.0,36.56,98.29,12950.0,2017.0,10.0,1.8516129032258064
52836.0,36.18,98.06,3189.0,2017.0,10.0,2.141935483870968
52842.0,36.47,99.05,3087.6000000000004,2017.0,10.0,2.538709677419355
52853.0,36.54,100.59,13010.0,2017.0,10.0,2.383870967741936
52855.0,36.41,101.15,2675.0,2017.0,10.0,1.9258064516129032
52856.0,36.16,100.37,2835.0,2017.0,10.0,1.1612903225806452
52862.0,36.57,101.41,12450.0,2017.0,10.0,1.3451612903225807
52863.0,36.49,101.57,12480.0,2017.0,10.0,0.935483870967742
52866.0,36.44,101.45,2295.2000000000003,2017.0,10.0,0.8580645161290322
52868.0,36.01,101.22,2273.0,2017.0,10.0,1.435483870967742
52869.0,36.3,101.35,2667.5,2017.0,10.0,1.1344827586206898
52874.0,36.29,102.25,2021.0,2017.0,10.0,2.0258064516129033
52875.0,36.3,102.06,12125.0,2017.0,10.0,1.4387096774193548
52876.0,36.2,102.5,1813.9,2017.0,10.0,1.503225806451613
52877.0,36.06,102.15,2834.7000000000003,2017.0,10.0,1.3516129032258064
52881.0,36.59,103.11,2484.8,2017.0,10.0,2.067741935483871
52884.0,36.21,103.57,1668.5,2017.0,10.0,1.4655172413793105
52885.0,36.45,103.15,2118.8,2017.0,10.0,1.7600000000000002
52889.0,36.03,103.53,1517.2,2017.0,10.0,0.9161290322580646
52895.0,36.34,104.41,1398.2,2017.0,10.0,1.5258064516129033
52896.0,36.33,104.09,1736.7,2017.0,10.0,1.5548387096774194
52908.0,35.13,93.05,4612.2,2017.0,10.0,3.6483870967741936
52943.0,35.35,99.59,3323.2000000000003,2017.0,10.0,1.5580645161290323
52955.0,35.35,100.44,13120.0,2017.0,10.0,1.2000000000000002
52957.0,35.15,100.36,3148.2000000000003,2017.0,10.0,1.709677419354839
52963.0,35.56,102.01,2085.7000000000003,2017.0,10.0,1.2870967741935484
52968.0,35.02,101.28,3662.8,2017.0,10.0,2.3967741935483873
52972.0,35.51,102.27,1921.0,2017.0,10.0,2.874193548387097
52974.0,35.33,102.02,2475.0,2017.0,10.0,1.7838709677419358
52978.0,35.11,102.3,2948.3,2017.0,10.0,2.39
52980.0,35.58,103.18,1648.0,2017.0,10.0,0.9548387096774195
52981.0,35.41,103.23,2421.0,2017.0,10.0,2.8806451612903228
52982.0,35.29,103.33,1953.2,2017.0,10.0,1.167741935483871
52983.0,35.52,104.09,1874.4,2017.0,10.0,1.838709677419355
52984.0,35.35,103.11,1917.2,2017.0,10.0,1.0129032258064516
52985.0,35.25,103.2,2162.8,2017.0,10.0,1.0233333333333332
52986.0,35.22,103.52,1893.8000000000002,2017.0,10.0,1.4000000000000001
52988.0,35.22,103.43,2015.8000000000002,2017.0,10.0,1.2966666666666669
52993.0,35.41,105.04,1739.4,2017.0,10.0,1.7258064516129032
52995.0,35.35,104.37,1897.2,2017.0,10.0,1.4166666666666667
52996.0,35.23,105.01,2450.6,2017.0,10.0,4.362068965517241
52998.0,35.08,104.12,2111.0,2017.0,10.0,1.5533333333333335
53068.0,43.38,111.56,963.1,2017.0,10.0,3.606451612903226
53083.0,44.37,114.09,1181.6000000000001,2017.0,10.0,3.206451612903226
53149.0,42.32,110.08,1225.2,2017.0,10.0,3.461290322580645
53192.0,44.01,115.0,1147.7,2017.0,10.0,3.516129032258065
53195.0,43.51,113.38,1036.7,2017.0,10.0,3.0193548387096776
53231.0,41.24,106.24,1510.2,2017.0,10.0,5.07741935483871
53272.0,42.45,112.38,1104.9,2017.0,10.0,4.006451612903226
53276.0,42.24,112.54,1150.8,2017.0,10.0,3.8548387096774195
53289.0,42.14,113.5,1322.1000000000001,2017.0,10.0,2.5161290322580645
53324.0,41.04,107.03,1035.3,2017.0,10.0,2.009677419354839
53336.0,41.34,108.31,1288.0,2017.0,10.0,2.2870967741935484
53337.0,41.05,108.28,1023.3000000000001,2017.0,10.0,2.0387096774193547
53343.0,41.46,109.58,1612.2,2017.0,10.0,4.148387096774194
53348.0,41.01,109.08,1078.7,2017.0,10.0,1.8419354838709676
53352.0,41.42,110.26,1376.6000000000001,2017.0,10.0,2.803225806451613
53357.0,41.02,110.06,1403.1000000000001,2017.0,10.0,3.5225806451612907
53362.0,41.33,111.39,1445.2,2017.0,10.0,3.2774193548387096
53367.0,41.19,111.14,1602.3000000000002,2017.0,10.0,3.2870967741935484
53368.0,41.05,111.28,1637.3000000000002,2017.0,10.0,3.045161290322581
53378.0,41.17,112.37,1737.3000000000002,2017.0,10.0,3.874193548387097
53384.0,41.27,113.11,1423.5,2017.0,10.0,2.238709677419355
53385.0,41.36,113.32,1420.0,2017.0,10.0,3.5290322580645164
53391.0,41.54,114.0,1482.7,2017.0,10.0,2.7838709677419358
53392.0,41.51,114.35,1428.1000000000001,2017.0,10.0,2.9000000000000004
53397.0,41.06,113.59,1376.5,2017.0,10.0,2.3580645161290326
53399.0,41.09,114.42,1393.3000000000002,2017.0,10.0,2.5967741935483875
53419.0,40.2,107.0,1055.3,2017.0,10.0,2.2258064516129035
53420.0,40.51,107.07,1024.0,2017.0,10.0,2.145161290322581
53433.0,40.44,108.39,1020.4000000000001,2017.0,10.0,2.448387096774194
53446.0,40.32,109.53,1004.7,2017.0,10.0,2.541935483870968
53455.0,40.33,110.32,998.6,2017.0,10.0,1.1709677419354838
53457.0,40.24,110.02,1011.0,2017.0,10.0,1.5774193548387097
53463.0,40.51,111.34,1153.5,2017.0,10.0,3.3967741935483873
53464.0,40.43,111.1,1042.7,2017.0,10.0,1.5903225806451613
53466.0,40.45,111.42,1045.4,2017.0,10.0,1.096774193548387
53467.0,40.15,111.15,1015.9000000000001,2017.0,10.0,2.067741935483871
53469.0,40.24,111.49,1166.7,2017.0,10.0,1.6838709677419357
53472.0,40.52,112.34,1451.7,2017.0,10.0,1.6516129032258065
53475.0,40.31,112.28,1268.9,2017.0,10.0,1.8838709677419356
53478.0,40.0,112.27,1345.8000000000002,2017.0,10.0,1.4903225806451612
53480.0,41.02,113.04,1419.3000000000002,2017.0,10.0,1.7967741935483872
53481.0,40.48,113.13,1316.8000000000002,2017.0,10.0,1.645161290322581
53483.0,40.52,113.5,1268.7,2017.0,10.0,2.4870967741935486
53484.0,40.27,113.09,1191.5,2017.0,10.0,1.8935483870967742
53486.0,40.22,113.46,1050.3,2017.0,10.0,1.8225806451612905
53487.0,40.05,113.25,1052.6000000000001,2017.0,10.0,1.506451612903226
53488.0,40.02,113.35,1034.3,2017.0,10.0,1.7032258064516128
53490.0,40.26,114.03,1014.7,2017.0,10.0,2.2193548387096778
53491.0,40.41,114.23,837.7,2017.0,10.0,1.606451612903226
53492.0,40.06,114.09,937.6,2017.0,10.0,1.2806451612903227
53498.0,40.34,115.02,629.3000000000001,2017.0,10.0,1.8838709677419356
53499.0,40.46,114.44,755.2,2017.0,10.0,1.6967741935483873
53502.0,39.47,105.45,1031.8,2017.0,10.0,3.0903225806451613
53505.0,37.53,105.24,1380.7,2017.0,10.0,3.0516129032258066
53512.0,39.48,106.48,1105.6000000000001,2017.0,10.0,2.1483870967741936
53513.0,40.44,107.22,1041.1000000000001,2017.0,10.0,1.967741935483871
53517.0,39.16,106.2,1464.5,2017.0,10.0,2.9806451612903224
53518.0,39.02,106.21,1117.7,2017.0,10.0,1.3096774193548388
53519.0,39.13,106.46,1092.5,2017.0,10.0,1.903225806451613
53522.0,40.03,107.5,1180.3,2017.0,10.0,3.441935483870968
53529.0,39.05,107.58,1381.4,2017.0,10.0,2.6
53533.0,39.49,108.43,1414.0,2017.0,10.0,4.02258064516129
53543.0,39.5,109.59,1461.9,2017.0,10.0,2.0903225806451613
53545.0,39.34,109.43,1367.0,2017.0,10.0,2.490322580645161
53547.0,39.06,109.02,1312.2,2017.0,10.0,2.390322580645161
53553.0,39.52,111.13,1221.4,2017.0,10.0,1.5258064516129033
53562.0,39.55,111.4,1208.0,2017.0,10.0,2.0483870967741935
53564.0,39.22,111.13,1036.0,2017.0,10.0,2.0870967741935487
53565.0,39.26,111.3,1051.7,2017.0,10.0,1.6612903225806452
53567.0,39.01,111.0,1024.3,2017.0,10.0,2.361290322580645
53573.0,40.0,112.42,1336.3000000000002,2017.0,10.0,2.264516129032258
53574.0,39.31,112.16,1409.4,2017.0,10.0,1.8290322580645162
53575.0,39.06,112.12,1525.4,2017.0,10.0,2.8516129032258064
53576.0,39.3,112.49,1045.0,2017.0,10.0,1.7161290322580645
53577.0,39.0,112.18,1437.4,2017.0,10.0,2.512903225806452
53578.0,39.22,112.26,1114.8,2017.0,10.0,1.135483870967742
53579.0,39.01,112.54,859.7,2017.0,10.0,1.474193548387097
53580.0,39.49,113.06,1044.6000000000001,2017.0,10.0,1.6612903225806452
53582.0,39.43,113.4,1079.2,2017.0,10.0,1.9967741935483874
53584.0,39.34,113.1,1000.7,2017.0,10.0,1.6967741935483873
53585.0,39.1,113.16,933.9000000000001,2017.0,10.0,1.6967741935483873
53588.0,38.57,113.31,2208.3,2017.0,10.0,4.425
53590.0,39.45,114.16,977.8000000000001,2017.0,10.0,2.2838709677419358
53593.0,39.5,114.34,909.5,2017.0,10.0,1.0580645161290323
53594.0,39.27,114.11,938.7,2017.0,10.0,1.2612903225806453
53596.0,38.55,115.09,80.7,2017.0,10.0,1.1096774193548389
53599.0,39.22,114.41,884.4000000000001,2017.0,10.0,1.3935483870967742
53602.0,38.5,105.4,1561.4,2017.0,10.0,1.6548387096774193
53603.0,38.5,106.22,1095.0,2017.0,10.0,2.067741935483871
