区站号,纬度,经度,观测场拔海高度,年,月,平均气温
52602.0,38.45,93.2,2770.0,2017.0,2.0,-5.2250000000000005
52607.0,39.26,106.39,1252.6000000000001,2017.0,2.0,-1.8607142857142858
52633.0,38.49,98.25,3367.0,2017.0,2.0,-10.15357142857143
52643.0,38.5,99.37,2311.8,2017.0,2.0,-4.2785714285714285
52645.0,38.26,99.36,3314.0,2017.0,2.0,-11.17857142857143
52652.0,39.05,100.17,1461.1000000000001,2017.0,2.0,-2.271428571428572
52656.0,38.28,100.49,2232.0,2017.0,2.0,-4.425
52657.0,38.11,100.15,2787.4,2017.0,2.0,-6.0
52661.0,38.48,101.05,1765.5,2017.0,2.0,-1.9464285714285716
52674.0,38.13,101.56,2093.9,2017.0,2.0,-4.182142857142857
52679.0,37.55,102.4,1531.5,2017.0,2.0,-0.6285714285714286
52681.0,38.38,103.05,1367.5,2017.0,2.0,-1.5071428571428571
52707.0,36.48,93.41,2767.0,2017.0,2.0,-3.4892857142857148
52713.0,37.51,95.21,3173.2000000000003,2017.0,2.0,-5.357142857142858
52737.0,37.22,97.23,2981.5,2017.0,2.0,-3.5500000000000003
52745.0,37.18,99.01,3417.1000000000004,2017.0,2.0,-7.182142857142857
52754.0,37.2,100.08,13301.5,2017.0,2.0,-7.446428571428571
52765.0,37.23,101.37,12850.0,2017.0,2.0,-4.989285714285715
52784.0,37.28,102.54,2072.4,2017.0,2.0,-2.428571428571429
52787.0,37.12,102.52,3045.1000000000004,2017.0,2.0,-6.867857142857144
52797.0,37.11,104.03,1630.9,2017.0,2.0,-0.2642857142857143
52818.0,36.25,94.55,2807.6000000000004,2017.0,2.0,-1.8678571428571429
52825.0,36.26,96.26,2790.4,2017.0,2.0,-2.5071428571428576
52833.0,36.56,98.29,12950.0,2017.0,2.0,-4.092857142857143
52836.0,36.18,98.06,3189.0,2017.0,2.0,-4.125
52842.0,36.47,99.05,3087.6000000000004,2017.0,2.0,-5.042857142857144
52853.0,36.54,100.59,13010.0,2017.0,2.0,-6.696428571428571
52855.0,36.41,101.15,2675.0,2017.0,2.0,-2.996428571428572
52856.0,36.16,100.37,2835.0,2017.0,2.0,-2.517857142857143
52862.0,36.57,101.41,12450.0,2017.0,2.0,-2.0535714285714284
52863.0,36.49,101.57,12480.0,2017.0,2.0,-3.2107142857142854
52866.0,36.44,101.45,2295.2000000000003,2017.0,2.0,-2.357142857142857
52868.0,36.01,101.22,2273.0,2017.0,2.0,1.425
52869.0,36.3,101.35,2667.5,2017.0,2.0,-2.85
52874.0,36.29,102.25,2021.0,2017.0,2.0,0.060714285714285714
52875.0,36.3,102.06,12125.0,2017.0,2.0,-0.23214285714285718
52876.0,36.2,102.5,1813.9,2017.0,2.0,0.3571428571428572
52877.0,36.06,102.15,2834.7000000000003,2017.0,2.0,-4.742857142857143
52881.0,36.59,103.11,2484.8,2017.0,2.0,-5.260714285714286
52884.0,36.21,103.57,1668.5,2017.0,2.0,-2.0535714285714284
52885.0,36.45,103.15,2118.8,2017.0,2.0,-2.7142857142857144
52889.0,36.03,103.53,1517.2,2017.0,2.0,1.9928571428571429
52895.0,36.34,104.41,1398.2,2017.0,2.0,0.025
52896.0,36.33,104.09,1736.7,2017.0,2.0,-0.17142857142857143
52908.0,35.13,93.05,4612.2,2017.0,2.0,-11.432142857142857
52943.0,35.35,99.59,3323.2000000000003,2017.0,2.0,-6.035714285714286
52955.0,35.35,100.44,13120.0,2017.0,2.0,-4.825
52957.0,35.15,100.36,3148.2000000000003,2017.0,2.0,-3.2678571428571432
52963.0,35.56,102.01,2085.7000000000003,2017.0,2.0,1.0642857142857143
52968.0,35.02,101.28,3662.8,2017.0,2.0,-8.1
52972.0,35.51,102.27,1921.0,2017.0,2.0,1.7071428571428573
52974.0,35.33,102.02,2475.0,2017.0,2.0,-0.5535714285714286
52978.0,35.11,102.3,2948.3,2017.0,2.0,-4.357142857142857
52980.0,35.58,103.18,1648.0,2017.0,2.0,1.1321428571428571
52981.0,35.41,103.23,2421.0,2017.0,2.0,-1.4000000000000001
52982.0,35.29,103.33,1953.2,2017.0,2.0,-0.9821428571428572
52983.0,35.52,104.09,1874.4,2017.0,2.0,-1.425
52984.0,35.35,103.11,1917.2,2017.0,2.0,-0.275
52985.0,35.25,103.2,2162.8,2017.0,2.0,-2.1035714285714286
52986.0,35.22,103.52,1893.8000000000002,2017.0,2.0,-0.8464285714285714
52988.0,35.22,103.43,2015.8000000000002,2017.0,2.0,-0.942857142857143
52993.0,35.41,105.04,1739.4,2017.0,2.0,-0.4857142857142857
52995.0,35.35,104.37,1897.2,2017.0,2.0,-0.21071428571428574
52996.0,35.23,105.01,2450.6,2017.0,2.0,-3.6428571428571432
52998.0,35.08,104.12,2111.0,2017.0,2.0,-1.9892857142857143
53068.0,43.38,111.56,963.1,2017.0,2.0,-9.3
53083.0,44.37,114.09,1181.6000000000001,2017.0,2.0,-12.467857142857143
53149.0,42.32,110.08,1225.2,2017.0,2.0,-7.4071428571428575
53192.0,44.01,115.0,1147.7,2017.0,2.0,-11.075000000000001
53195.0,43.51,113.38,1036.7,2017.0,2.0,-9.596428571428572
53231.0,41.24,106.24,1510.2,2017.0,2.0,-6.582142857142857
53272.0,42.45,112.38,1104.9,2017.0,2.0,-8.425
53276.0,42.24,112.54,1150.8,2017.0,2.0,-7.6035714285714295
53289.0,42.14,113.5,1322.1000000000001,2017.0,2.0,-9.282142857142857
53324.0,41.04,107.03,1035.3,2017.0,2.0,-3.9714285714285715
53336.0,41.34,108.31,1288.0,2017.0,2.0,-7.0321428571428575
53337.0,41.05,108.28,1023.3000000000001,2017.0,2.0,-7.139285714285714
53343.0,41.46,109.58,1612.2,2017.0,2.0,-8.071428571428571
53348.0,41.01,109.08,1078.7,2017.0,2.0,-5.892857142857143
53352.0,41.42,110.26,1376.6000000000001,2017.0,2.0,-7.80357142857143
53357.0,41.02,110.06,1403.1000000000001,2017.0,2.0,-7.8464285714285715
53362.0,41.32,111.41,1490.1000000000001,2017.0,2.0,-8.557142857142857
53367.0,41.19,111.14,1602.3000000000002,2017.0,2.0,-9.67857142857143
53368.0,41.05,111.28,1637.3000000000002,2017.0,2.0,-8.035714285714286
53378.0,41.17,112.37,1737.3000000000002,2017.0,2.0,-9.45357142857143
53384.0,41.27,113.11,1423.5,2017.0,2.0,-7.482142857142858
53385.0,41.36,113.32,1420.0,2017.0,2.0,-8.70357142857143
53391.0,41.54,114.0,1482.7,2017.0,2.0,-9.360714285714286
53392.0,41.51,114.35,1428.1000000000001,2017.0,2.0,-11.871428571428572
53397.0,41.06,113.59,1376.5,2017.0,2.0,-9.064285714285715
53399.0,41.09,114.42,1393.3000000000002,2017.0,2.0,-8.817857142857143
53419.0,40.2,107.0,1055.3,2017.0,2.0,-2.410714285714286
53420.0,40.51,107.07,1024.0,2017.0,2.0,-4.303571428571429
53433.0,40.44,108.39,1020.4000000000001,2017.0,2.0,-3.7035714285714287
53446.0,40.32,109.53,1004.7,2017.0,2.0,-6.425000000000001
53455.0,40.33,110.32,998.6,2017.0,2.0,-3.682142857142857
53457.0,40.24,110.02,1011.0,2017.0,2.0,-4.125
53463.0,40.51,111.34,1153.5,2017.0,2.0,-5.603571428571429
53464.0,40.43,111.1,1042.7,2017.0,2.0,-5.175000000000001
53466.0,40.45,111.42,1045.4,2017.0,2.0,-5.067857142857143
53467.0,40.15,111.15,1015.9000000000001,2017.0,2.0,-5.989285714285715
53469.0,40.24,111.49,1166.7,2017.0,2.0,-5.4750000000000005
53472.0,40.52,112.34,1451.7,2017.0,2.0,-8.542857142857143
53475.0,40.31,112.28,1268.9,2017.0,2.0,-6.389285714285715
53478.0,40.0,112.27,1345.8000000000002,2017.0,2.0,-8.089285714285714
53480.0,41.02,113.04,1419.3000000000002,2017.0,2.0,-7.296428571428571
53481.0,40.48,113.13,1316.8000000000002,2017.0,2.0,-6.092857142857143
53483.0,40.52,113.5,1268.7,2017.0,2.0,-6.396428571428572
53484.0,40.27,113.09,1191.5,2017.0,2.0,-5.967857142857143
53486.0,40.22,113.46,1050.3,2017.0,2.0,-3.339285714285715
53487.0,40.05,113.25,1052.6000000000001,2017.0,2.0,-5.675000000000001
53488.0,40.02,113.35,1034.3,2017.0,2.0,-5.7250000000000005
53490.0,40.26,114.03,1014.7,2017.0,2.0,-4.55
53491.0,40.41,114.23,837.7,2017.0,2.0,-3.7785714285714285
53492.0,40.06,114.09,937.6,2017.0,2.0,-3.2535714285714286
53498.0,40.34,115.02,629.3000000000001,2017.0,2.0,-3.6535714285714285
53499.0,40.46,114.44,755.2,2017.0,2.0,-3.625
53502.0,39.47,105.45,1031.8,2017.0,2.0,-2.7321428571428577
53505.0,37.53,105.24,1380.7,2017.0,2.0,-1.7714285714285716
53512.0,39.48,106.48,1105.6000000000001,2017.0,2.0,-2.7964285714285717
53513.0,40.44,107.22,1041.1000000000001,2017.0,2.0,-4.078571428571428
53517.0,39.16,106.2,1464.5,2017.0,2.0,-3.1
53518.0,39.02,106.21,1117.7,2017.0,2.0,-2.4857142857142858
53519.0,39.13,106.46,1092.5,2017.0,2.0,-1.5750000000000002
53522.0,40.03,107.5,1180.3,2017.0,2.0,-5.042857142857144
53529.0,39.05,107.58,1381.4,2017.0,2.0,-5.432142857142857
53533.0,39.49,108.43,1414.0,2017.0,2.0,-5.675000000000001
53543.0,39.5,109.59,1461.9,2017.0,2.0,-3.5821428571428573
53545.0,39.34,109.43,1367.0,2017.0,2.0,-4.189285714285715
53547.0,39.06,109.02,1312.2,2017.0,2.0,-5.321428571428572
53553.0,39.52,111.13,1221.4,2017.0,2.0,-3.8285714285714287
53562.0,39.55,111.4,1208.0,2017.0,2.0,-4.428571428571429
53564.0,39.22,111.13,1036.0,2017.0,2.0,-2.742857142857143
53565.0,39.26,111.3,1051.7,2017.0,2.0,-3.621428571428572
53567.0,39.01,111.0,1024.3,2017.0,2.0,-0.942857142857143
53573.0,40.0,112.42,1336.3000000000002,2017.0,2.0,-5.271428571428572
53574.0,39.31,112.16,1409.4,2017.0,2.0,-5.135714285714286
53575.0,39.06,112.12,1525.4,2017.0,2.0,-5.228571428571429
53576.0,39.3,112.49,1045.0,2017.0,2.0,-2.7535714285714286
53577.0,39.0,112.18,1437.4,2017.0,2.0,-3.1750000000000003
53578.0,39.22,112.26,1114.8,2017.0,2.0,-4.132142857142857
53579.0,39.01,112.54,859.7,2017.0,2.0,-1.7571428571428573
53580.0,39.49,113.06,1044.6000000000001,2017.0,2.0,-2.535714285714286
53582.0,39.43,113.4,1079.2,2017.0,2.0,-5.603571428571429
53584.0,39.34,113.1,1000.7,2017.0,2.0,-2.4571428571428573
53585.0,39.1,113.16,933.9000000000001,2017.0,2.0,-2.746428571428572
53588.0,38.57,113.31,2208.3,2017.0,2.0,-7.9107142857142865
53590.0,39.45,114.16,977.8000000000001,2017.0,2.0,-5.235714285714286
53593.0,39.5,114.34,909.5,2017.0,2.0,-3.4464285714285716
53594.0,39.27,114.11,938.7,2017.0,2.0,-3.142857142857143
53596.0,38.55,115.09,80.7,2017.0,2.0,1.5714285714285714
