区站号,纬度,经度,观测场拔海高度,年,月,日最高气温,日最低气温,温差
50873.0,46.47,130.18,82.0,2017.0,5.0,220.0,10.0,210.0
50877.0,46.18,129.35,100.10000000000001,2017.0,5.0,220.0,9.0,237.0
50878.0,47.0,130.43,78.2,2017.0,5.0,213.0,34.0,182.0
50879.0,46.13,130.33,187.0,2017.0,5.0,199.0,30.0,219.0
50880.0,46.44,131.07,102.30000000000001,2017.0,5.0,211.0,56.0,176.0
50884.0,46.38,131.09,175.3,2017.0,5.0,198.0,74.0,177.0
50888.0,46.23,132.1,79.60000000000001,2017.0,5.0,197.0,69.0,224.0
50892.0,46.48,134.0,54.400000000000006,2017.0,5.0,170.0,-5.0,195.0
50913.0,45.43,118.5,865.0,2017.0,5.0,246.0,-6.0,275.0
50915.0,45.31,116.58,838.9000000000001,2017.0,5.0,260.0,26.0,260.0
50924.0,45.33,119.39,860.0,2017.0,5.0,244.0,-11.0,259.0
50928.0,45.04,120.2,628.3000000000001,2017.0,5.0,257.0,9.0,259.0
50934.0,45.23,121.35,311.70000000000005,2017.0,5.0,271.0,76.0,280.0
50936.0,45.38,122.5,155.3,2017.0,5.0,272.0,71.0,236.0
50937.0,45.04,121.29,282.1,2017.0,5.0,273.0,78.0,259.0
50939.0,45.2,122.49,150.8,2017.0,5.0,277.0,54.0,248.0
50940.0,45.51,123.1,141.1,2017.0,5.0,268.0,67.0,235.0
50945.0,45.3,124.14,138.1,2017.0,5.0,268.0,53.0,215.0
50946.0,45.11,124.5,139.8,2017.0,5.0,258.0,42.0,216.0
50948.0,45.0,124.01,146.3,2017.0,5.0,273.0,71.0,219.0
50949.0,45.05,124.52,136.20000000000002,2017.0,5.0,271.0,41.0,230.0
50950.0,45.42,125.15,148.70000000000002,2017.0,5.0,254.0,41.0,213.0
50953.0,45.56,126.34,118.30000000000001,2017.0,5.0,245.0,46.0,200.0
50954.0,45.3,125.05,127.5,2017.0,5.0,260.0,27.0,233.0
50955.0,45.24,126.19,168.3,2017.0,5.0,252.0,44.0,208.0
50956.0,46.05,126.46,134.5,2017.0,5.0,251.0,-13.0,264.0
50958.0,45.32,126.56,168.20000000000002,2017.0,5.0,247.0,5.0,242.0
50960.0,45.44,127.23,184.20000000000002,2017.0,5.0,235.0,6.0,229.0
50962.0,45.57,128.02,112.10000000000001,2017.0,5.0,228.0,2.0,232.0
50963.0,45.58,128.44,108.60000000000001,2017.0,5.0,219.0,6.0,248.0
50964.0,45.5,128.48,119.30000000000001,2017.0,5.0,216.0,10.0,229.0
50965.0,45.26,128.16,167.20000000000002,2017.0,5.0,215.0,-1.0,256.0
50968.0,45.13,127.58,189.70000000000002,2017.0,5.0,212.0,15.0,263.0
50971.0,45.46,131.01,223.5,2017.0,5.0,193.0,41.0,229.0
50973.0,45.45,130.36,234.4,2017.0,5.0,203.0,48.0,198.0
50978.0,45.18,130.55,272.5,2017.0,5.0,198.0,57.0,207.0
50979.0,45.16,130.14,274.7,2017.0,5.0,211.0,5.0,256.0
50983.0,45.46,132.58,100.2,2017.0,5.0,185.0,54.0,166.0
50985.0,45.33,131.52,151.70000000000002,2017.0,5.0,195.0,49.0,213.0
50987.0,45.16,131.06,219.9,2017.0,5.0,200.0,67.0,232.0
51053.0,48.03,86.24,532.6,2017.0,5.0,146.0,63.0,186.0
51058.0,47.06,87.58,563.3000000000001,2017.0,5.0,152.0,57.0,221.0
51059.0,47.27,85.53,968.2,2017.0,5.0,104.0,16.0,191.0
51060.0,47.42,86.52,473.90000000000003,2017.0,5.0,151.0,72.0,214.0
51068.0,47.07,87.29,497.0,2017.0,5.0,146.0,70.0,222.0
51076.0,47.44,88.05,735.3000000000001,2017.0,5.0,117.0,53.0,192.0
51087.0,47.01,89.31,860.4000000000001,2017.0,5.0,119.0,65.0,195.0
51133.0,46.44,83.0,534.9,2017.0,5.0,150.0,75.0,187.0
51137.0,46.12,82.56,715.4000000000001,2017.0,5.0,122.0,62.0,191.0
51145.0,46.33,83.39,521.6,2017.0,5.0,138.0,78.0,183.0
51156.0,46.49,85.45,1322.1000000000001,2017.0,5.0,99.0,31.0,178.0
51186.0,46.4,90.23,1218.2,2017.0,5.0,121.0,55.0,207.0
51232.0,45.11,82.34,369.8,2017.0,5.0,172.0,92.0,159.0
51238.0,44.54,82.04,532.2,2017.0,5.0,180.0,76.0,167.0
51241.0,45.56,83.36,1094.2,2017.0,5.0,94.0,50.0,162.0
51243.0,45.37,84.51,450.3,2017.0,5.0,173.0,112.0,141.0
51288.0,45.22,90.32,1653.7,2017.0,5.0,67.0,11.0,149.0
51328.0,44.1,80.25,722.0,2017.0,5.0,128.0,46.0,180.0
51329.0,44.03,80.51,640.0,2017.0,5.0,144.0,42.0,206.0
51330.0,44.58,81.01,1357.8000000000002,2017.0,5.0,119.0,28.0,160.0
51334.0,44.34,82.49,329.20000000000005,2017.0,5.0,201.0,101.0,157.0
51346.0,44.26,84.4,478.70000000000005,2017.0,5.0,184.0,80.0,176.0
51352.0,44.51,85.15,337.1,2017.0,5.0,199.0,101.0,201.0
51353.0,45.01,86.06,346.0,2017.0,5.0,199.0,99.0,187.0
51356.0,44.19,86.03,442.90000000000003,2017.0,5.0,179.0,95.0,216.0
51357.0,44.2,85.37,522.2,2017.0,5.0,178.0,91.0,177.0
51358.0,44.17,85.49,468.5,2017.0,5.0,183.0,88.0,219.0
51359.0,44.19,86.12,471.40000000000003,2017.0,5.0,187.0,81.0,227.0
51365.0,44.12,87.32,440.5,2017.0,5.0,186.0,87.0,229.0
51367.0,44.1,86.51,575.1,2017.0,5.0,181.0,93.0,186.0
51368.0,44.07,87.19,515.7,2017.0,5.0,186.0,93.0,237.0
51369.0,43.58,87.39,600.3000000000001,2017.0,5.0,159.0,82.0,173.0
51377.0,44.1,87.55,547.0,2017.0,5.0,168.0,81.0,229.0
51378.0,44.0,89.1,742.9000000000001,2017.0,5.0,138.0,66.0,196.0
51379.0,44.01,89.34,793.5,2017.0,5.0,128.0,61.0,205.0
51430.0,43.5,81.09,602.6,2017.0,5.0,144.0,61.0,217.0
51431.0,43.57,81.2,662.5,2017.0,5.0,134.0,63.0,206.0
51433.0,43.48,82.31,1105.3,2017.0,5.0,83.0,5.0,228.0
51434.0,43.58,81.32,770.0,2017.0,5.0,128.0,53.0,221.0
51435.0,43.28,82.14,774.9000000000001,2017.0,5.0,116.0,44.0,244.0
51436.0,43.27,83.18,928.2,2017.0,5.0,107.0,20.0,188.0
51437.0,43.09,81.08,1851.0,2017.0,5.0,58.0,-14.0,166.0
51438.0,43.11,81.46,1210.4,2017.0,5.0,94.0,11.0,204.0
51463.0,43.47,87.39,935.0,2017.0,5.0,128.0,55.0,162.0
51465.0,43.29,87.06,1871.8000000000002,2017.0,5.0,57.0,-10.0,174.0
51467.0,42.46,86.2,1732.4,2017.0,5.0,155.0,5.0,203.0
51468.0,43.06,86.5,3539.0,2017.0,5.0,-53.0,-107.0,144.0
51469.0,43.27,87.11,1930.0,2017.0,5.0,59.0,-10.0,166.0
51470.0,43.53,88.07,1942.5,2017.0,5.0,38.0,-14.0,169.0
51477.0,43.21,88.19,1103.5,2017.0,5.0,120.0,50.0,247.0
51482.0,43.5,90.17,1271.5,2017.0,5.0,83.0,25.0,156.0
51495.0,43.13,91.44,721.4000000000001,2017.0,5.0,183.0,114.0,177.0
51526.0,42.14,88.13,922.4000000000001,2017.0,5.0,225.0,102.0,231.0
51542.0,43.02,84.09,2458.0,2017.0,5.0,-8.0,-46.0,256.0
51559.0,42.19,86.24,1100.9,2017.0,5.0,213.0,87.0,208.0
51567.0,42.05,86.34,1055.3,2017.0,5.0,209.0,68.0,219.0
51568.0,42.15,86.48,1085.4,2017.0,5.0,207.0,66.0,228.0
51571.0,42.46,88.36,49.5,2017.0,5.0,239.0,181.0,206.0
51572.0,42.5,89.15,-48.7,2017.0,5.0,274.0,176.0,226.0
51573.0,42.57,89.14,39.300000000000004,2017.0,5.0,277.0,180.0,174.0
51581.0,42.51,90.14,398.6,2017.0,5.0,262.0,135.0,228.0
51627.0,41.13,79.14,1395.8000000000002,2017.0,5.0,169.0,70.0,229.0
51628.0,41.07,80.23,1107.1000000000001,2017.0,5.0,151.0,80.0,193.0
51629.0,41.16,80.14,1133.1000000000001,2017.0,5.0,154.0,91.0,184.0
51633.0,41.47,81.54,1229.2,2017.0,5.0,138.0,67.0,230.0
51636.0,41.33,82.39,1009.8000000000001,2017.0,5.0,168.0,89.0,207.0
51639.0,41.14,82.47,980.4000000000001,2017.0,5.0,193.0,96.0,199.0
51642.0,41.49,84.16,982.0,2017.0,5.0,210.0,82.0,182.0
51644.0,41.43,82.58,1081.9,2017.0,5.0,166.0,76.0,211.0
51655.0,41.21,86.16,884.9000000000001,2017.0,5.0,236.0,100.0,214.0
51656.0,41.44,85.49,899.8000000000001,2017.0,5.0,230.0,98.0,223.0
51701.0,40.31,75.24,3504.4,2017.0,5.0,-10.0,-103.0,183.0
51704.0,39.43,76.1,1298.7,2017.0,5.0,241.0,95.0,184.0
51705.0,39.43,75.15,2175.7000000000003,2017.0,5.0,165.0,19.0,175.0
51707.0,39.3,76.47,1204.7,2017.0,5.0,246.0,85.0,231.0
51708.0,39.09,75.57,1325.1000000000001,2017.0,5.0,247.0,27.0,220.0
51709.0,39.29,75.45,1385.6000000000001,2017.0,5.0,248.0,83.0,177.0
51711.0,40.56,78.27,1985.1000000000001,2017.0,5.0,126.0,38.0,171.0
51716.0,39.48,78.34,1116.5,2017.0,5.0,228.0,66.0,215.0
51717.0,39.15,76.47,1206.3,2017.0,5.0,262.0,78.0,231.0
51720.0,40.3,79.03,1161.8,2017.0,5.0,196.0,86.0,232.0
51722.0,40.39,80.24,1044.3,2017.0,5.0,156.0,75.0,219.0
51730.0,40.33,81.16,1012.2,2017.0,5.0,172.0,73.0,247.0
51747.0,39.0,83.4,1099.3,2017.0,5.0,244.0,102.0,277.0
51765.0,40.38,87.42,846.0,2017.0,5.0,243.0,130.0,231.0
51777.0,39.02,88.1,887.7,2017.0,5.0,253.0,141.0,268.0
51802.0,38.56,76.1,1297.5,2017.0,5.0,254.0,52.0,202.0
51804.0,37.46,75.14,3090.1000000000004,2017.0,5.0,112.0,8.0,179.0
51810.0,38.55,77.38,1178.2,2017.0,5.0,248.0,52.0,224.0
51811.0,38.26,77.16,1231.2,2017.0,5.0,243.0,88.0,204.0
51814.0,37.55,77.24,1360.4,2017.0,5.0,233.0,81.0,182.0
51815.0,38.12,77.16,1274.7,2017.0,5.0,243.0,53.0,206.0
51818.0,37.37,78.17,1375.4,2017.0,5.0,237.0,82.0,198.0
51826.0,37.01,80.48,1336.5,2017.0,5.0,209.0,67.0,214.0
51827.0,37.1,79.38,1348.9,2017.0,5.0,216.0,79.0,239.0
51828.0,37.08,79.56,1375.0,2017.0,5.0,212.0,75.0,175.0
51829.0,37.03,80.1,1295.6000000000001,2017.0,5.0,222.0,68.0,186.0
51839.0,37.04,82.43,1409.5,2017.0,5.0,201.0,50.0,244.0
51855.0,38.09,85.33,1247.2,2017.0,5.0,230.0,85.0,224.0
51886.0,38.15,90.51,2944.8,2017.0,5.0,137.0,32.0,205.0
51931.0,36.51,81.39,1422.0,2017.0,5.0,202.0,57.0,234.0
52101.0,43.36,93.03,1679.4,2017.0,5.0,140.0,6.0,187.0
52112.0,43.45,94.59,479.0,2017.0,5.0,279.0,151.0,214.0
52118.0,43.16,94.42,1728.6000000000001,2017.0,5.0,161.0,69.0,190.0
52203.0,42.49,93.31,737.2,2017.0,5.0,241.0,132.0,223.0
52267.0,41.57,101.04,940.5,2017.0,5.0,286.0,110.0,214.0
52313.0,41.32,94.4,1573.8000000000002,2017.0,5.0,213.0,93.0,210.0
52323.0,41.48,97.02,1770.4,2017.0,5.0,182.0,51.0,236.0
52378.0,41.22,102.22,960.0,2017.0,5.0,300.0,103.0,211.0
52418.0,40.09,94.41,1139.0,2017.0,5.0,244.0,96.0,240.0
52424.0,40.32,95.47,1170.9,2017.0,5.0,236.0,129.0,232.0
52436.0,40.16,97.02,1526.0,2017.0,5.0,215.0,74.0,232.0
52446.0,40.18,99.31,1177.4,2017.0,5.0,274.0,82.0,227.0
52447.0,40.0,98.53,1270.5,2017.0,5.0,268.0,87.0,217.0
52495.0,40.1,104.48,1323.9,2017.0,5.0,246.0,109.0,209.0
52515.0,39.31,94.52,2137.2000000000003,2017.0,5.0,171.0,45.0,195.0
52533.0,39.46,98.29,1477.2,2017.0,5.0,235.0,69.0,192.0
52546.0,39.22,99.5,1332.2,2017.0,5.0,274.0,114.0,232.0
52557.0,39.09,100.1,1453.7,2017.0,5.0,270.0,105.0,206.0
52575.0,39.25,102.47,1239.5,2017.0,5.0,268.0,55.0,245.0
52576.0,39.13,101.41,1510.1000000000001,2017.0,5.0,244.0,97.0,185.0
52602.0,38.45,93.2,2770.0,2017.0,5.0,151.0,50.0,227.0
52607.0,39.26,106.39,1252.6000000000001,2017.0,5.0,249.0,130.0,221.0
52633.0,38.49,98.25,3367.0,2017.0,5.0,140.0,-44.0,216.0
52643.0,38.5,99.37,2311.8,2017.0,5.0,201.0,14.0,187.0
52645.0,38.26,99.36,3314.0,2017.0,5.0,132.0,-27.0,214.0
52652.0,39.05,100.17,1461.1000000000001,2017.0,5.0,265.0,84.0,192.0
52656.0,38.28,100.49,2232.0,2017.0,5.0,212.0,46.0,170.0
52657.0,38.11,100.15,2787.4,2017.0,5.0,182.0,14.0,218.0
52661.0,38.48,101.05,1765.5,2017.0,5.0,242.0,56.0,207.0
52674.0,38.13,101.56,2093.9,2017.0,5.0,196.0,16.0,199.0
52679.0,37.55,102.4,1531.5,2017.0,5.0,252.0,88.0,177.0
52681.0,38.38,103.05,1367.5,2017.0,5.0,250.0,78.0,186.0
52707.0,36.48,93.41,2767.0,2017.0,5.0,159.0,41.0,252.0
52713.0,37.51,95.21,3173.2000000000003,2017.0,5.0,164.0,74.0,190.0
52737.0,37.22,97.23,2981.5,2017.0,5.0,199.0,75.0,203.0
52745.0,37.18,99.01,3417.1000000000004,2017.0,5.0,119.0,-2.0,200.0
52754.0,37.2,100.08,13301.5,2017.0,5.0,131.0,-22.0,163.0
52765.0,37.23,101.37,12850.0,2017.0,5.0,155.0,3.0,225.0
52784.0,37.28,102.54,2072.4,2017.0,5.0,207.0,50.0,166.0
52787.0,37.12,102.52,3045.1000000000004,2017.0,5.0,144.0,0.0,179.0
52797.0,37.11,104.03,1630.9,2017.0,5.0,250.0,65.0,206.0
52818.0,36.25,94.55,2807.6000000000004,2017.0,5.0,158.0,67.0,212.0
52825.0,36.26,96.26,2790.4,2017.0,5.0,187.0,40.0,241.0
52833.0,36.56,98.29,12950.0,2017.0,5.0,206.0,17.0,195.0
52836.0,36.18,98.06,3189.0,2017.0,5.0,199.0,45.0,201.0
52842.0,36.47,99.05,3087.6000000000004,2017.0,5.0,164.0,11.0,208.0
52853.0,36.54,100.59,13010.0,2017.0,5.0,157.0,-9.0,241.0
52855.0,36.41,101.15,2675.0,2017.0,5.0,175.0,52.0,212.0
52856.0,36.16,100.37,2835.0,2017.0,5.0,215.0,14.0,212.0
52862.0,36.57,101.41,12450.0,2017.0,5.0,203.0,6.0,215.0
52863.0,36.49,101.57,12480.0,2017.0,5.0,204.0,0.0,211.0
52866.0,36.44,101.45,2295.2000000000003,2017.0,5.0,218.0,4.0,226.0
52868.0,36.01,101.22,2273.0,2017.0,5.0,233.0,40.0,212.0
52869.0,36.3,101.35,2667.5,2017.0,5.0,178.0,24.0,185.0
52874.0,36.29,102.25,2021.0,2017.0,5.0,227.0,30.0,200.0
52875.0,36.3,102.06,12125.0,2017.0,5.0,230.0,34.0,205.0
52876.0,36.2,102.5,1813.9,2017.0,5.0,236.0,69.0,182.0
52877.0,36.06,102.15,2834.7000000000003,2017.0,5.0,179.0,-19.0,200.0
52881.0,36.59,103.11,2484.8,2017.0,5.0,179.0,-4.0,217.0
52884.0,36.21,103.57,1668.5,2017.0,5.0,267.0,26.0,261.0
52885.0,36.45,103.15,2118.8,2017.0,5.0,217.0,22.0,207.0
52889.0,36.03,103.53,1517.2,2017.0,5.0,288.0,88.0,215.0
52895.0,36.34,104.41,1398.2,2017.0,5.0,285.0,63.0,229.0
52896.0,36.33,104.09,1736.7,2017.0,5.0,253.0,65.0,196.0
52908.0,35.13,93.05,4612.2,2017.0,5.0,54.0,-24.0,192.0
52943.0,35.35,99.59,3323.2000000000003,2017.0,5.0,175.0,-36.0,243.0
52955.0,35.35,100.44,13120.0,2017.0,5.0,211.0,-27.0,241.0
52957.0,35.15,100.36,3148.2000000000003,2017.0,5.0,208.0,-2.0,255.0
52963.0,35.56,102.01,2085.7000000000003,2017.0,5.0,241.0,50.0,207.0
52968.0,35.02,101.28,3662.8,2017.0,5.0,157.0,-35.0,223.0
52972.0,35.51,102.27,1921.0,2017.0,5.0,225.0,60.0,200.0
52974.0,35.33,102.02,2475.0,2017.0,5.0,214.0,29.0,198.0
52978.0,35.11,102.3,2948.3,2017.0,5.0,213.0,-21.0,237.0
52980.0,35.58,103.18,1648.0,2017.0,5.0,266.0,54.0,221.0
52981.0,35.41,103.23,2421.0,2017.0,5.0,207.0,48.0,159.0
52982.0,35.29,103.33,1953.2,2017.0,5.0,250.0,40.0,234.0
52983.0,35.52,104.09,1874.4,2017.0,5.0,248.0,34.0,216.0
52984.0,35.35,103.11,1917.2,2017.0,5.0,230.0,40.0,224.0
52985.0,35.25,103.2,2162.8,2017.0,5.0,220.0,10.0,236.0
52986.0,35.22,103.52,1893.8000000000002,2017.0,5.0,257.0,13.0,253.0
52988.0,35.22,103.43,2015.8000000000002,2017.0,5.0,253.0,25.0,247.0
52993.0,35.41,105.04,1739.4,2017.0,5.0,247.0,37.0,235.0
52995.0,35.35,104.37,1897.2,2017.0,5.0,243.0,45.0,211.0
52996.0,35.23,105.01,2450.6,2017.0,5.0,180.0,69.0,141.0
52998.0,35.08,104.12,2111.0,2017.0,5.0,222.0,38.0,203.0
53068.0,43.38,111.56,963.1,2017.0,5.0,280.0,58.0,227.0
53083.0,44.37,114.09,1181.6000000000001,2017.0,5.0,243.0,71.0,223.0
53149.0,42.32,110.08,1225.2,2017.0,5.0,262.0,102.0,210.0
53192.0,44.01,115.0,1147.7,2017.0,5.0,252.0,65.0,208.0
53195.0,43.51,113.38,1036.7,2017.0,5.0,268.0,91.0,213.0
53231.0,41.24,106.24,1510.2,2017.0,5.0,235.0,106.0,173.0
53272.0,42.45,112.38,1104.9,2017.0,5.0,267.0,103.0,198.0
53276.0,42.24,112.54,1150.8,2017.0,5.0,269.0,74.0,195.0
53289.0,42.14,113.5,1322.1000000000001,2017.0,5.0,242.0,93.0,211.0
53324.0,41.04,107.03,1035.3,2017.0,5.0,273.0,86.0,241.0
53336.0,41.34,108.31,1288.0,2017.0,5.0,239.0,128.0,204.0
53337.0,41.05,108.28,1023.3000000000001,2017.0,5.0,245.0,84.0,229.0
53343.0,41.46,109.58,1612.2,2017.0,5.0,202.0,103.0,179.0
53348.0,41.01,109.08,1078.7,2017.0,5.0,249.0,121.0,205.0
53352.0,41.42,110.26,1376.6000000000001,2017.0,5.0,212.0,74.0,211.0
53357.0,41.02,110.06,1403.1000000000001,2017.0,5.0,185.0,79.0,217.0
53362.0,41.32,111.41,1490.1000000000001,2017.0,5.0,208.0,66.0,210.0
53367.0,41.19,111.14,1602.3000000000002,2017.0,5.0,190.0,43.0,223.0
53368.0,41.05,111.28,1637.3000000000002,2017.0,5.0,176.0,74.0,194.0
53378.0,41.17,112.37,1737.3000000000002,2017.0,5.0,183.0,34.0,199.0
53384.0,41.27,113.11,1423.5,2017.0,5.0,223.0,54.0,211.0
53385.0,41.36,113.32,1420.0,2017.0,5.0,232.0,32.0,223.0
53391.0,41.54,114.0,1482.7,2017.0,5.0,215.0,65.0,177.0
53392.0,41.51,114.35,1428.1000000000001,2017.0,5.0,220.0,17.0,234.0
53397.0,41.06,113.59,1376.5,2017.0,5.0,228.0,99.0,246.0
53399.0,41.09,114.42,1393.3000000000002,2017.0,5.0,217.0,105.0,213.0
53419.0,40.2,107.0,1055.3,2017.0,5.0,268.0,148.0,180.0
53420.0,40.51,107.07,1024.0,2017.0,5.0,266.0,91.0,238.0
53433.0,40.44,108.39,1020.4000000000001,2017.0,5.0,238.0,134.0,188.0
53446.0,40.32,109.53,1004.7,2017.0,5.0,204.0,119.0,253.0
53455.0,40.33,110.32,998.6,2017.0,5.0,223.0,122.0,204.0
53457.0,40.24,110.02,1011.0,2017.0,5.0,202.0,129.0,219.0
53463.0,40.51,111.34,1153.5,2017.0,5.0,199.0,103.0,219.0
53464.0,40.43,111.1,1042.7,2017.0,5.0,207.0,107.0,215.0
53466.0,40.45,111.42,1045.4,2017.0,5.0,216.0,122.0,214.0
53467.0,40.15,111.15,1015.9000000000001,2017.0,5.0,199.0,79.0,246.0
53469.0,40.24,111.49,1166.7,2017.0,5.0,210.0,137.0,205.0
53472.0,40.52,112.34,1451.7,2017.0,5.0,208.0,22.0,248.0
53475.0,40.31,112.28,1268.9,2017.0,5.0,205.0,73.0,228.0
53478.0,40.0,112.27,1345.8000000000002,2017.0,5.0,185.0,69.0,259.0
53480.0,41.02,113.04,1419.3000000000002,2017.0,5.0,215.0,52.0,210.0
53481.0,40.48,113.13,1316.8000000000002,2017.0,5.0,220.0,65.0,230.0
53483.0,40.52,113.5,1268.7,2017.0,5.0,236.0,98.0,221.0
53484.0,40.27,113.09,1191.5,2017.0,5.0,215.0,62.0,244.0
53486.0,40.22,113.46,1050.3,2017.0,5.0,248.0,86.0,216.0
53487.0,40.05,113.25,1052.6000000000001,2017.0,5.0,235.0,67.0,261.0
53488.0,40.02,113.35,1034.3,2017.0,5.0,243.0,116.0,253.0
53490.0,40.26,114.03,1014.7,2017.0,5.0,256.0,82.0,214.0
53491.0,40.41,114.23,837.7,2017.0,5.0,261.0,99.0,220.0
53492.0,40.06,114.09,937.6,2017.0,5.0,270.0,109.0,224.0
53498.0,40.34,115.02,629.3000000000001,2017.0,5.0,260.0,108.0,239.0
53499.0,40.46,114.44,755.2,2017.0,5.0,259.0,125.0,219.0
53502.0,39.47,105.45,1031.8,2017.0,5.0,274.0,110.0,202.0
